/sentences,,,,,,
/sentence/@id,/sentence/#id,/sentence/aspectTerms/aspectTerm/@from,/sentence/aspectTerms/aspectTerm/@polarity,/sentence/aspectTerms/aspectTerm/@term,/sentence/aspectTerms/aspectTerm/@to,/sentence/text
1259,246,200,positive,software,208,"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem."
2938,247,11,negative,volume,17,I wish the volume could be louder and the mouse didnt break after only a month.
2938,247,42,negative,mouse,47,I wish the volume could be louder and the mouse didnt break after only a month.
2574,248,45,positive,touchpad,53,"I play a lot of casual games online, and the touchpad is very responsive."
2351,249,100,positive,boots up,108,"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker."
526,250,47,negative,hard drive,57,It caught a virus that completely wiped out my hard drive in a matter of hours.
2891,251,,,,,WOULD PAY MORE FOR IT IF I HAD TOO!
2717,252,,,,,Couldn't keep a page up you were working on!
3020,253,46,positive,look and feel standpoint,70,"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy."
2541,254,61,negative,safari,67,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.
2541,254,83,negative,safari,89,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.
2541,254,110,positive,Mozzilla firfox,125,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.
1069,255,4,negative,Bluetooth,13,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done."
1069,255,44,negative,fingerprint reader driver,69,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done."
1069,255,94,negative,software,102,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done."
1553,256,6,positive,battery,13,"Great battery, speed, display."
1553,256,15,positive,speed,20,"Great battery, speed, display."
1553,256,22,positive,display,29,"Great battery, speed, display."
355,257,,,,,I would not recommend this product to anyone.
602,258,,,,,I like to use it at the race track to handiecap the horse races.
2502,259,,,,,I was given a Mac as a birthday present and couldn't be happier with it 3 years later.
2874,260,4,positive,delivery,12,"The delivery was fast, and I would not hesitate to purchase this laptop again."
2385,261,29,positive,battery life,41,I've been impressed with the battery life and the performance for such a small amount of memory.
2385,261,50,positive,performance,61,I've been impressed with the battery life and the performance for such a small amount of memory.
2385,261,89,negative,memory,95,I've been impressed with the battery life and the performance for such a small amount of memory.
198,262,,,,,do a quick search on the internet see if im the only one.
211,263,,,,,I'm extremely happy with my purchase as I now have the portable power I have been looking for.
1654,264,5,positive,applications,17,"It's applications are terrific, including the replacements for Microsoft office."
1654,264,63,positive,Microsoft office,79,"It's applications are terrific, including the replacements for Microsoft office."
3058,265,35,negative,Resolution,45,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc."
3058,265,47,negative,appearance,57,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc."
3058,265,59,negative,cooling system,73,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc."
3058,265,75,negative,graphics card,88,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc."
1937,266,21,negative,built-in webcam,36,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out."
1937,266,41,negative,built-in mic,53,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out."
1937,266,269,negative,cam,272,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out."
1937,266,277,negative,mic,280,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out."
104,267,53,neutral,Windows Vista,66,Is this partially due to the fact that it is running Windows Vista?
419,268,,,,,"You might think, I am new in this game, but I am a gadget lover, and have had more than 2 dozens laptops in the past 15 years, and none gets this hot, that fast."
630,269,,,,,I was informed that I need to call some 0900 number first.
694,270,,,,,I really wanted a Mac over a pc because I used a Mac in high school.
189,271,,,,,"1) Payed $2200 for a ""premium"" laptop"
2616,272,,,,,I BOUGHT THEM FOR MY COLLEGE AGE GRANDCHILDREN AND THESE MACS ARE TOTALLY RELIABLE AND SUPPORT THEIR CLASS WORK 100% OF THE TIME.
1417,273,6,negative,board,11,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.
1417,273,22,negative,connector,31,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.
1417,273,41,negative,power supply,53,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.
1417,273,72,negative,warrenty,80,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.
1417,273,93,negative,power supply,105,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.
1045,274,,,,,Do not purchase this laptop.
2886,275,115,positive,ethernet,123,"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!"
2886,275,85,positive,works,90,"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!"
2124,276,18,positive,drag and drop feature,39,Mostly I love the drag and drop feature.
260,277,26,negative,webcam,32,"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?"
1296,278,,,,,"She brought out 2 other identical netbooks and still insist that ""It is like that one""."
1172,279,46,positive,sales tax,55,"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally."
